Country	Region	Campaign	Media_Channel	Ad_Spend_Local	FX_Rate_to_USD	Revenue_Generated_USD
Australia	Oceania	Spring2024	Radio	2533501.25	0.67	4516453.39
Spain	Europe	Spring2024	Billboard	6859472.6	1.1	15223669
South Africa	Africa	Spring2024	Radio	5415388.08	0.054	913934
Italy	Europe	Spring2024	TV	7342666.13	1.1	11634311.83
China	Asia	Spring2024	Radio	8522264.02	0.14	3299072.76
Argentina	LATAM	Spring2024	TV	7460634.28	0.01	45032.23
South Africa	Africa	Spring2024	Social Media	13596219.51	0.054	468038.15
Brazil	LATAM	Spring2024	Billboard	1539185.36	0.19	739512.2
Japan	Asia	Spring2024	Billboard	8251532.02	0.0064	44888.33
India	Asia	Spring2024	TV	10503951.26	0.012	357301.82
Australia	Oceania	Spring2024	YouTube	14486106.27	0.67	31625004.07
Japan	Asia	Spring2024	YouTube	4667640.68	0.0064	25391.97
Canada	North America	Spring2024	TV	14797898.02	0.75	42860767.59
South Africa	Africa	Spring2024	Social Media	6657641.61	0.054	1339959.12
Saudi Arabia	Middle East	Spring2024	TV	4177864.77	0.27	1595932.06
France	Europe	Spring2024	YouTube	11248568.14	1.1	14908834.66
Australia	Oceania	Spring2024	Influencer	5254079.36	0.67	2584136.74
Germany	Europe	Spring2024	Billboard	10203046.03	1.1	18653708.99
Australia	Oceania	Spring2024	Billboard	7704256.6	0.67	16577712.02
Mexico	LATAM	Spring2024	Influencer	1109668.23	0.058	257443.04
Saudi Arabia	Middle East	Spring2024	TV	11108262.39	0.27	5418147.14
South Korea	Asia	Spring2024	Influencer	3453806.9	0.00072	9444.67
Germany	Europe	Spring2024	Billboard	6150973.96	1.1	22425378.35
USA	North America	Spring2024	Influencer	3249251.1	1	11936633.87
Saudi Arabia	Middle East	Spring2024	Radio	9565178.01	0.27	5304952.84
Germany	Europe	Spring2024	Radio	12554546.88	1.1	30116794.43
Argentina	LATAM	Spring2024	YouTube	13824987.94	0.01	104952.51
Italy	Europe	Spring2024	Influencer	5193902.1	1.1	11392703.35
Brazil	LATAM	Spring2024	Billboard	1624573.34	0.19	1217385.34
Italy	Europe	Spring2024	TV	6201876.92	1.1	26161703.74
UK	Europe	Spring2024	YouTube	9229629.33	1.27	44081816.15
Argentina	LATAM	Spring2024	TV	6482267.63	0.01	179635.1
Argentina	LATAM	Spring2024	Social Media	8185228.79	0.01	116715.83
India	Asia	Spring2024	Social Media	7649691.71	0.012	117520.01
Nigeria	Africa	Spring2024	Billboard	8010614.64	0.0011	27737.85
Saudi Arabia	Middle East	Spring2024	Influencer	12720768.09	0.27	4629044.94
Italy	Europe	Spring2024	Social Media	9313516.6	1.1	34062663.14
Mexico	LATAM	Spring2024	YouTube	14600273.1	0.058	3387263.36
UAE	Middle East	Spring2024	Influencer	6239602.09	0.27	4076453.63
UK	Europe	Spring2024	Social Media	12942601.19	1.27	29744744.15
Egypt	Africa	Spring2024	TV	10821469.91	0.021	172940.43
Canada	North America	Spring2024	Social Media	12742188.36	0.75	35074970.92
Germany	Europe	Spring2024	YouTube	4994879.99	1.1	10602871.87
Brazil	LATAM	Spring2024	YouTube	8885984.48	0.19	5205661.72
China	Asia	Spring2024	YouTube	3756156.98	0.14	637757.49
Australia	Oceania	Spring2024	YouTube	12718587.43	0.67	6258068.82
China	Asia	Spring2024	Social Media	9436923.65	0.14	4499299.43
South Africa	Africa	Spring2024	TV	4288279.96	0.054	217935.79
Germany	Europe	Spring2024	Radio	13907926.25	1.1	26394795.23
Germany	Europe	Spring2024	YouTube	1630693	1.1	1650845.27
Canada	North America	Spring2024	YouTube	2606711.12	0.75	4203269.81
South Africa	Africa	Spring2024	Social Media	11639477.17	0.054	1555032.79
Canada	North America	Spring2024	Radio	2260691.95	0.75	1546356.86
Australia	Oceania	Spring2024	Billboard	5306215.22	0.67	13276199.91
USA	North America	Spring2024	Influencer	1203676.61	1	769301.58
Australia	Oceania	Spring2024	Billboard	11067976.14	0.67	19066676.53
South Korea	Asia	Spring2024	TV	1405676.02	0.00072	3768.94
Australia	Oceania	Spring2024	TV	3430526.13	0.67	2319218.77
Nigeria	Africa	Spring2024	YouTube	12820076.16	0.0011	33857.42
Spain	Europe	Spring2024	YouTube	6368601.49	1.1	15301146.08
Mexico	LATAM	Spring2024	Social Media	2101148.48	0.058	487466.44
Italy	Europe	Spring2024	YouTube	14028118.76	1.1	12850953.88
Germany	Europe	Spring2024	Influencer	12840388.94	1.1	52868821.95
Nigeria	Africa	Spring2024	Billboard	13066085.96	0.0011	20886.71
